Gebiet-Name:
griechenland

Gesundheitszentren:


Ortschaften:
(98.9061956449025, 178.71781924816102)
(91.2566205624806, 244.38568858959297)
(553.2441850308373, 38.10527234049209)
(405.15349901266205, 89.11910303936232)
(187.26820187715697, 148.53472202343573)
(62.47477579295674, 313.1754407329979)
(258.38107594084255, 56.27203869561272)
(243.24129773768627, 544.9136624421091)
(306.56142884412105, 357.7209410122304)
(362.70993993626377, 46.69595433597514)
(178.84621764068967, 379.78298441809255)
(282.91863513735666, 387.93547433284084)
(197.55431612527286, 560.4984709262792)
(209.17949403439377, 360.2437796095189)
(267.8401355868811, 426.72023596875545)

zunahe Ortschaften:


geschuetzte Ortschaften:


Ortschaften ausserhalb dem Gebiet:
