#Ortschaften,#Gesundheitszentren,#BenoetigteIterationen
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,1
19,0,0
20,0,0
21,0,0
22,0,0
23,0,1
24,0,0
25,0,1
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,1
39,0,0
40,0,0
41,0,1
42,0,0
43,0,1
44,0,1
45,0,1
46,0,0
47,0,0
48,0,1
49,0,3
50,0,1
51,0,0
52,0,0
53,0,0
54,0,2
55,0,0
56,0,4
57,0,0
58,0,0
59,0,1
60,0,3
61,0,0
62,0,1
63,0,1
64,0,1
65,0,0
66,0,1
67,0,0
68,0,1
69,0,5
70,0,0
71,0,1
72,0,2
73,0,2
74,0,1
75,0,2
76,0,3
77,0,0
78,0,0
79,0,1
80,0,1
81,0,0
82,0,1
83,0,0
84,0,0
85,0,1
86,0,1
87,0,0
88,0,0
89,0,0
90,0,0
91,0,1
92,0,1
93,0,19
94,0,1
95,0,0
96,0,0
97,0,0
98,0,0
99,0,1
100,0,5
101,0,0
102,0,1
103,0,1
104,0,1
105,0,0
106,0,1
107,0,0
108,0,57
109,0,1
110,0,0
111,0,0
112,0,1
113,0,2
114,0,2
115,0,0
116,0,3
117,0,0
118,0,16
119,0,51
120,0,0
121,0,1
122,0,2
123,0,1
124,0,1
125,0,1
126,0,11
127,0,12
128,0,1
129,0,1
130,0,4
131,0,2
132,0,0
133,0,3
134,0,7
135,0,1
136,0,3
137,0,1
138,0,8
139,0,0
140,0,10
141,0,14
142,0,1
143,0,0
144,0,0
145,0,6
146,0,0
147,0,1
148,0,5
149,0,11
150,0,2
151,0,0
152,0,22
153,0,5
154,0,14
155,0,81
156,0,0
157,0,0
158,0,68
159,0,1
160,0,3
161,0,22
162,0,182
163,0,124
164,0,10
165,0,0
166,0,1
167,0,44
168,0,1
169,0,16
170,0,68
171,0,1
172,0,8
173,0,0
174,0,0
175,0,59
176,0,29
177,0,5
178,0,4
179,0,0
180,0,64
181,0,4
182,0,0
183,0,21
184,0,155
185,0,10
186,0,3
187,0,37
188,0,74
189,0,6
190,0,31
191,0,55
192,0,7
193,0,75
194,0,80
195,0,57
196,0,97
197,0,83
198,0,0
199,0,24
200,0,0
201,0,20
202,0,2
203,0,285
204,0,11
205,0,14
206,0,2
207,0,19
208,0,32
209,0,2
210,0,26
211,0,1
212,0,343
213,0,30
214,0,3
215,0,12
216,0,25
217,0,21
218,0,8
219,0,1
220,0,1
221,0,13
222,0,1
223,0,4
224,0,419
225,0,16
226,0,10
227,0,3
228,0,32
229,0,31
230,0,26
231,0,28
232,0,257
233,0,20
234,0,3
235,0,868
236,0,36
237,0,52
238,0,8
239,0,22
240,0,437
241,0,343
242,0,45
243,0,3
