Iteration,Loss,#OrtschaftenZuNah,#OrtschaftenNichtImGebiet,#Ortschaften,#Gesundheitszentren
1,9.007525557528524,4,0,590,4
2,9.007525557528524,4,0,590,4
3,9.007525557528524,4,0,590,4
4,9.007525557528524,4,0,590,4
5,9.007525557528524,4,0,590,4
6,7.840709852705762,6,0,590,4
7,7.840709852705762,6,0,590,4
8,7.840709852705762,6,0,590,4
9,7.840709852705762,6,0,590,4
10,7.840709852705762,6,0,590,4
11,7.840709852705762,6,0,590,4
12,7.840709852705762,6,0,590,4
13,7.840709852705762,6,0,590,4
14,7.840709852705762,6,0,590,4
15,7.840709852705762,6,0,590,4
16,7.840709852705762,6,0,590,4
