Iteration,Loss,#OrtschaftenZuNah,#OrtschaftenNichtImGebiet,#Ortschaften,#Gesundheitszentren
1,3.9707879352768556,3,0,91,1
2,3.389841229950634,2,0,91,1
3,3.389841229950634,2,0,91,1
4,3.389841229950634,2,0,91,1
5,3.389841229950634,2,0,91,1
6,3.389841229950634,2,0,91,1
7,3.389841229950634,2,0,91,1
8,1.8938956692249533,3,0,91,1
9,1.8938956692249533,3,0,91,1
10,1.8938956692249533,3,0,91,1
11,1.8938956692249533,3,0,91,1
12,1.8938956692249533,3,0,91,1
13,1.8938956692249533,3,0,91,1
14,1.8938956692249533,3,0,91,1
15,1.5466115853424967,2,0,91,1
16,1.1031270622460827,3,0,91,1
17,1.1031270622460827,3,0,91,1
18,1.1031270622460827,3,0,91,1
19,1.008420476460273,2,0,91,1
20,1.008420476460273,2,0,91,1
21,0,0,0,91,1
