#Ortschaften,#Gesundheitszentren,#BenoetigteIterationen
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,1
9,0,1
10,0,0
11,0,1
12,0,0
13,0,0
14,0,0
15,0,1
16,0,0
17,0,3
18,0,0
19,0,1
20,0,2
21,0,3
22,0,4
23,0,3
24,0,0
25,0,2
26,0,23
27,0,9
28,0,1
29,0,6
30,0,2
31,0,10
32,0,1
33,0,4
34,0,4
35,0,29
36,0,8
37,0,28
38,0,6
39,0,0
40,0,115
41,0,142
42,0,166
43,0,180
44,0,100
45,0,128
46,0,487
47,0,136
48,0,89
49,0,73
50,1,1195
51,1,11
52,1,13
53,1,13
54,1,1
55,1,1
56,1,14
57,1,1
58,1,20
59,1,12
60,1,22
61,1,1
62,1,2
63,1,1
64,1,13
65,1,11
66,1,2
67,1,1
68,1,1
69,1,2
70,1,2
71,1,2
72,1,3
73,1,1
74,1,0
75,1,0
76,1,1
77,1,4
78,1,1
79,1,7
80,1,4
81,1,0
82,1,38
83,1,3
84,1,2
85,1,2
86,1,1
87,1,13
88,1,4
89,1,2
90,1,3
91,1,12
92,1,7
93,1,1
94,1,7
95,1,4
96,1,1
97,1,39
98,1,28
99,1,16
100,1,31
101,1,4
102,1,10
103,1,8
104,1,30
105,1,49
106,1,22
107,1,142
108,1,54
109,1,1
110,1,25
111,1,62
112,1,1
113,1,21
114,1,102
115,1,94
116,1,135
117,1,198
118,1,8
119,1,144
120,1,732
121,1,530
122,1,89
123,1,491
124,1,125
125,1,81
126,1,181
127,1,970
128,1,245
129,1,341
130,1,632
131,1,187
132,1,291
133,2,1130
134,2,147
135,2,175
136,2,135
137,2,216
138,2,177
139,2,89
140,2,107
141,2,1
142,2,30
143,2,34
144,2,721
145,2,135
146,2,537
147,2,190
148,2,736
149,2,818
150,2,375
151,3,1534
152,3,805
